"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
2014336,"动作",2025,89,5.539,284,3.1119,"Non_High_Revenue"
1479632,"历史",2025,117,7.003,615,3.488,"Non_High_Revenue"
854959,"剧情",2025,98,8.086,4530,5.9669,"Non_High_Revenue"
542537,"动画",2025,80,7,10,0.4166,"Non_High_Revenue"
413819,"剧情",2025,101,7.069,58,1.0994,"Non_High_Revenue"
305591,"剧情",2025,100,5.8,6,1.2121,"Non_High_Revenue"
157987,"剧情",2025,80,6.684,38,0.9618,"Non_High_Revenue"
66118,"音乐",2025,105,7.283,265,1.599,"Non_High_Revenue"
5706545,"恐怖",2025,104,7.34,1617,9.6038,"High_Revenue"
16480,"剧情",2025,108,7.242,60,0.87,"Non_High_Revenue"
28220,"纪录",2025,92,7.9,136,0.9928,"Non_High_Revenue"
19100,"动作",2025,0,5.9,7,1.3036,"Non_High_Revenue"
10183983,"纪录",2025,112,0,0,0.0413,"High_Revenue"
1742379,"动作",2025,91,5.937,1146,6.7008,"Non_High_Revenue"
306676,"喜剧",2025,98,6.085,118,1.2402,"Non_High_Revenue"
117201,"剧情",2025,100,8.5,3,1.0368,"Non_High_Revenue"
49457,"剧情",2025,104,4.3,14,1.5117,"Non_High_Revenue"
105651491,"家庭",2025,108,7.199,2138,19.5358,"High_Revenue"
10250071,"历史",2025,0,5,3,0.8893,"High_Revenue"
453314822,"动作",2025,170,7.16,2775,24.1379,"High_Revenue"
1038166,"纪录",2025,111,6.9,8,1.1378,"Non_High_Revenue"
509150,"剧情",2025,97,7.131,3588,4.0687,"Non_High_Revenue"
488394,"动画",2025,86,8.033,770,4.796,"Non_High_Revenue"
416973,"爱情",2025,108,7.227,1267,4.9098,"Non_High_Revenue"
389476,"惊悚",2025,95,6.115,61,0.9306,"Non_High_Revenue"
334413,"喜剧",2025,94,6.351,158,0.8567,"Non_High_Revenue"
142954,"剧情",2025,75,7.5,11,0.2249,"Non_High_Revenue"
87717993,"恐怖",2025,110,7.041,2815,18.2539,"High_Revenue"
19865,"纪录",2025,68,0,0,0.0261,"Non_High_Revenue"
176465,"动作",2025,212,7.102,269,15.6505,"Non_High_Revenue"
456600,"科幻",2025,155,7.781,14821,26.947,"Non_High_Revenue"
8294120,"音乐",2025,126,9,2,0.5871,"High_Revenue"
1342890,"恐怖",2025,88,5.5,96,2.4244,"Non_High_Revenue"
835590,"喜剧",2025,131,7.571,21,1.1255,"Non_High_Revenue"
767321,"喜剧",2025,103,6.9,58,1.6737,"Non_High_Revenue"
590986,"动作",2025,100,5.589,218,2.1264,"Non_High_Revenue"
6508469,"喜剧",2025,127,7.25,16,17.405,"High_Revenue"
1408241,"纪录",2025,84,8,1,0.6449,"Non_High_Revenue"
8750541,"剧情",2025,110,5.9,13,1.7591,"High_Revenue"
5067485,"动画",2025,110,7.989,91,8.9779,"High_Revenue"
104497281,"动作",2025,127,7.288,3462,17.6849,"High_Revenue"
18734950,"动作",2025,92,6.832,98,6.4405,"High_Revenue"
11841699,"剧情",2025,0,7,3,0.6979,"High_Revenue"
1084883,"动画",2025,168,7.7,65,1.3504,"Non_High_Revenue"
127819,"恐怖",2025,98,5.879,173,1.2049,"Non_High_Revenue"
78212,"剧情",2025,117,6.5,14,0.8343,"Non_High_Revenue"
49073,"动画",2025,0,4.667,6,0.4303,"Non_High_Revenue"
148889,"剧情",2025,106,7,2,0.3286,"Non_High_Revenue"
14078073,"动画",2025,80,6.412,130,6.3844,"High_Revenue"
6419016,"恐怖",2025,103,6.277,1388,6.6923,"High_Revenue"
2794218,"纪录",2025,0,0,0,0.2634,"Non_High_Revenue"
1426030,"喜剧",2025,106,5.8,8,1.6926,"Non_High_Revenue"
1402790,"恐怖",2025,87,4.5,2,0.6562,"Non_High_Revenue"
1173334,"动画",2025,82,7.4,5,1.9499,"Non_High_Revenue"
